"","block","trial","trialCounter","trials_since_break","targetLoc","distractLoc","fixationTime","fixationPropGoodSamples","fixationTimeout","trialPropGoodSamples","timeout","softTimeoutTrial","omissionTrial","rt","trialPay","totalPay","distractType","timeOnLoc1","timeOnLoc2","timeOnLoc3","timeOnLoc4","timeOnLoc5","timeOnLoc6","timeOnLoc7","ID","instrCondition","Awareness","Singleton","Group"
"1",1,1,1,1,1,5,1.1172540666671,0.939393939393939,0,0.164556962025316,0,1,0,0.799227251232878,0,0,1,0.103501,0,0,0,0,0,0.696381,1,1,5,"High","Implicit"
"2",1,2,2,2,6,3,1.08389685391603,1,0,0.408163265306122,0,0,0,0.496411097879445,10,0.1,1,0,0,0,0,0,0.106656,0.389934,1,1,5,"High","Implicit"
"3",1,3,3,3,6,2,1.05055769480259,1,0,0.888888888888889,0,0,0,0.456394930584793,10,0.2,1,0,0,0,0,0,0.100101,0.356554,1,1,5,"High","Implicit"
"4",1,4,4,4,2,4,1.11722827071003,0.939393939393939,0,0.7,0,0,0,0.506908670823123,1,0.21,4,0,0.103321,0,0,0,0,0.403264,1,1,5,"Absent","Implicit"
"5",1,5,5,5,1,3,5.01780212515155,0.56,1,0.5,0,0,0,0.567154127730419,1,0.22,2,0.103326,0,0,0,0,0,0.466562,1,1,5,"Low","Implicit"
"6",1,6,6,6,2,5,1.05054723579792,1,0,0.529411764705882,0,0,0,0.516769935754155,1,0.23,2,0.03343,0.103318,0,0,0,0,0.379846,1,1,5,"Low","Implicit"
"7",1,7,7,7,6,3,1.08388790418076,1,0,0.790322580645161,0,1,0,0.628470313347634,0,0.23,1,0,0,0,0,0,0.106649,0.519953,1,1,5,"High","Implicit"
"8",1,8,8,8,1,3,1.08388760232697,0.96875,0,0.973821989528796,0,1,0,1.93175952469687,0,0.23,1,0.109957,0,0,0,0,0,1.819766,1,1,5,"High","Implicit"
"9",1,9,9,9,4,2,5.01781892308827,0.513333333333333,1,0.0150753768844221,1,0,0,2.00880054011691,0,0.23,1,0,0,0,0.036785,0,0,1.972922,1,1,5,"High","Implicit"
"10",1,10,10,10,2,4,5.01782717902506,0.08,1,0,1,0,0,2.0106678083182,0,0.23,3,0,0,0,0,0,0,2.00977,1,1,5,"Absent","Implicit"
"11",1,11,11,11,1,5,5.01780182329776,0,1,0,1,0,0,2.01073331061343,0,0.23,2,0,0,0,0,0,0,2.009715,1,1,5,"Low","Implicit"
"12",1,12,12,12,1,5,5.01779844996418,0.04,1,0.0452261306532663,1,0,0,2.01084469470106,0,0.23,1,0.096712,0,0,0,0,0,1.916345,1,1,5,"High","Implicit"
"13",1,13,13,13,1,3,5.01779850290495,0.0266666666666666,1,0.050251256281407,1,0,0,2.01081118891875,0,0.23,4,0.060027,0.03998,0,0,0,0,1.913096,1,1,5,"Absent","Implicit"
"14",1,14,14,14,2,6,5.0178332161031,0.16,1,0.429906542056075,0,1,1,1.08272354782207,0,0.23,2,0,0.103356,0,0,0,0.343347,0.639857,1,1,5,"Low","Implicit"
"15",1,15,15,15,3,1,2.31742049127092,0.304347826086957,0,0.580808080808081,1,0,0,2.00339066165066,0,0.23,2,0.503299,0.15329,0,0,0,0.06003,1.286472,1,1,5,"Low","Implicit"
"16",1,16,16,16,5,3,5.01780001217435,0.00666666666666671,1,0.0100502512562815,1,0,0,2.01052286550703,0,0.23,2,0,0,0,0,0,0,2.013064,1,1,5,"Low","Implicit"
"17",1,17,17,17,5,3,5.01781384451306,0,1,0.00502512562814073,1,0,0,2.01058691147387,0,0.23,1,0,0,0,0,0,0,2.013053,1,1,5,"High","Implicit"
"18",1,18,18,18,3,6,5.01779789919715,0.0266666666666666,1,0.176767676767677,1,0,0,2.00154114988868,0,0.23,1,0.01004,0,0,0,0,0.009987,1.983029,1,1,5,"High","Implicit"
"19",1,19,19,19,1,5,5.01782476419385,0.00666666666666671,1,0.00502512562814073,1,0,0,2.01056849838619,0,0.23,2,0.009989,0,0,0,0,0,1.99975,1,1,5,"Low","Implicit"
"20",1,20,20,20,1,4,5.01780121958996,0.04,1,0,1,0,0,2.01058510035045,0,0.23,3,0,0,0,0,0,0,2.006413,1,1,5,"Absent","Implicit"
"21",1,21,21,21,4,6,5.01780745264023,0.12,1,0.0353535353535354,1,0,0,2.00072202429624,0,0.23,2,0,0,0,0,0,0,2.003005,1,1,5,"Low","Implicit"
"22",1,22,22,22,3,1,5.01780876593739,0.00666666666666671,1,0.128440366972477,0,1,1,1.10211222727457,0,0.23,1,0.010005,0,0.103424,0.016695,0,0,0.966464,1,1,5,"High","Implicit"
"23",1,23,23,23,6,2,5.03455918939744,0.0666666666666667,1,0.0100502512562815,1,0,0,2.01054465192851,0,0.23,2,0,0,0,0,0,0.020042,1.986378,1,1,5,"Low","Implicit"
"24",1,24,24,24,4,1,5.01779880475874,0.38,1,0.0100502512562815,1,0,0,2.01052497848445,0,0.23,2,0.009994,0,0,0,0,0,2.003076,1,1,5,"Low","Implicit"
"25",2,25,1,25,6,3,5.01780448704199,0.0866666666666667,1,0,1,0,0,2.00066346464064,0,0.23,1,0,0,0,0,0,0,2.00643,1,1,5,"High","Implicit"
"26",2,26,2,26,5,2,5.01779789919715,0.0933333333333334,1,0.0353535353535354,1,0,0,2.00079074110295,0,0.23,1,0.040072,0,0,0,0,0,1.963016,1,1,5,"High","Implicit"
"27",2,27,3,27,4,2,5.01780533966303,0,1,0.291457286432161,1,0,0,2.012012265571,0,0.23,2,0,0,0,0,0,0,2.006375,1,1,5,"Low","Implicit"
"28",2,28,4,28,1,5,5.01780423812897,0.0600000000000001,1,0.0761421319796954,1,0,0,2.00093211460785,0,0.23,2,0,0,0,0,0.123258,0,1.87982,1,1,5,"Low","Implicit"
"29",2,29,5,29,1,5,5.01779971032056,0.233333333333333,1,0.120481927710843,0,1,0,0.83943207721245,0,0.23,2,0.103387,0,0,0,0,0,0.733187,1,1,5,"Low","Implicit"
"30",2,30,6,30,2,6,5.01783467243172,0.2,1,0.181818181818182,0,1,0,1.11068196526571,0,0.23,3,0.090105,0.100028,0,0,0,0,0.923048,1,1,5,"Absent","Implicit"
"31",2,31,7,31,5,2,5.01781867417526,0,1,0,1,0,0,2.01074176252246,0,0.23,1,0,0,0,0,0,0,2.006421,1,1,5,"High","Implicit"
"32",2,32,8,32,1,5,5.01780152144397,0.08,1,0.247474747474748,1,0,0,2.00168705120223,0,0.23,2,0.046715,0,0,0,0,0,1.959686,1,1,5,"Low","Implicit"
"33",2,33,9,33,4,2,5.01779971032056,0.113333333333333,1,0.136986301369863,0,1,0,0.738567899693408,0,0.23,1,0,0,0,0.10336,0,0,0.633242,1,1,5,"High","Implicit"
"34",2,34,10,34,5,1,1.41727431085906,0.5,0,0,1,0,0,2.0069719092146,0,0.23,1,0,0,0,0,0,0,2.006417,1,1,5,"High","Implicit"
"35",2,35,11,35,4,1,4.65107771383464,0.151079136690647,0,0.0150753768844221,1,0,0,2.01058897151051,0,0.23,2,0,0,0,0.030107,0,0,1.979628,1,1,5,"Low","Implicit"
"36",2,36,12,36,3,5,5.01781167859485,0.00666666666666671,1,0.125628140703518,1,0,0,2.01120510825308,0,0.23,4,0,0,0,0,0,0,2.013067,1,1,5,"Absent","Implicit"
"37",2,37,13,37,5,2,2.45075509239064,0.328767123287671,0,0.295081967213115,0,1,0,0.617419140358379,0,0.23,1,0,0,0,0,0.100082,0,0.516468,1,1,5,"High","Implicit"
"38",2,38,14,38,6,4,2.88416144418147,0.255813953488372,0,0.0578034682080925,0,1,0,1.7483244742632,0,0.23,4,0,0,0,0,0,0.106826,1.646275,1,1,5,"Absent","Implicit"
